timestamp,event_type,chosen_intent,intent_confidence,candidate_intents,safety_stage,safety_rule,safety_result,risk_level,execution_status,latency_ms,output_summary,uncertainty_reason,user_input_hash
2026-02-10T08:16:10.706699,INTENT_SELECTED,CHAT,0.95,,,,,,,,,,
2026-02-10T08:16:10.711293,SAFETY_CHECK,,,,,verification,ALLOW,low,,,,,
2026-02-10T08:16:21.820510,EXECUTION_RESULT,,,,,,,,completed,,Gross Domestic Product (GDP) measures the total va,,
2026-02-10T08:22:21.844069,INTENT_SELECTED,CALCULATOR,0.95,,,,,,,,,,
2026-02-10T08:22:21.846214,SAFETY_CHECK,,,,,verification,ALLOW,low,,,,,
2026-02-10T08:22:21.851532,EXECUTION_RESULT,,,,,,,,completed,,🕐 It's 08:22 AM right now!,,
2026-02-10T08:22:37.571657,INTENT_SELECTED,CALCULATOR,0.95,,,,,,,,,,
2026-02-10T08:22:37.573178,SAFETY_CHECK,,,,,verification,ALLOW,low,,,,,
2026-02-10T08:22:37.591152,EXECUTION_RESULT,,,,,,,,completed,,"🧮 Try simpler: 20-7, 5*3",,
2026-02-10T08:22:50.503556,INTENT_SELECTED,CALCULATOR,0.95,,,,,,,,,,
2026-02-10T08:22:50.504694,SAFETY_CHECK,,,,,verification,ALLOW,low,,,,,
2026-02-10T08:22:59.993990,INTENT_SELECTED,CHAT,0.95,,,,,,,,,,
2026-02-10T08:22:59.995062,SAFETY_CHECK,,,,,verification,ALLOW,low,,,,,
2026-02-10T08:22:59.997409,EXECUTION_RESULT,,,,,,,,completed,,🧮 Calculator exited. What else can I help with?,,
2026-02-10T08:23:07.133080,INTENT_SELECTED,GREET,0.95,,,,,,,,,,
2026-02-10T08:23:07.134089,SAFETY_CHECK,,,,,verification,ALLOW,low,,,,,
2026-02-10T08:23:09.664699,EXECUTION_RESULT,,,,,,,,completed,,Hi Aman! It's great to connect with you. What's on,,
2026-02-10T08:23:24.142892,INTENT_SELECTED,GET_TIME,0.95,,,,,,,,,,
2026-02-10T08:23:24.143900,SAFETY_CHECK,,,,,verification,ALLOW,low,,,,,
2026-02-10T08:23:24.145917,EXECUTION_RESULT,,,,,,,,completed,,🕐 It's 08:23 AM right now!,,
2026-02-10T08:23:37.229295,INTENT_SELECTED,GET_TIME,0.95,,,,,,,,,,
2026-02-10T08:23:37.230311,SAFETY_CHECK,,,,,verification,ALLOW,low,,,,,
2026-02-10T08:23:37.231310,EXECUTION_RESULT,,,,,,,,completed,,🕐 It's 08:23 AM right now!,,
2026-02-10T08:23:52.842957,INTENT_SELECTED,MUSIC,0.95,,,,,,,,,,
2026-02-10T08:23:52.844096,SAFETY_CHECK,,,,,verification,ALLOW,low,,,,,
2026-02-10T08:23:52.845110,EXECUTION_RESULT,,,,,,,,completed,,🕐 It's 08:23 AM right now!,,
2026-02-10T08:24:05.195400,INTENT_SELECTED,LIST_FILES,0.95,,,,,,,,,,
2026-02-10T08:24:05.196401,SAFETY_CHECK,,,,,verification,ALLOW,medium,,,,,
2026-02-10T08:24:05.197401,EXECUTION_RESULT,,,,,,,,completed,,"📁 Files: .env, calculator.py, chat_intent.py, conf",,
2026-02-10T08:24:22.183105,INTENT_SELECTED,CHAT,0.3,,,,,,,,,,
2026-02-10T08:24:22.184615,SAFETY_CHECK,,,,,verification,CLARIFY,low,,,,,
2026-02-10T08:24:22.185854,DECISION_NOTE,,,,,decision,PENDING_CONFIRM,,,,,,
